,Id,Artist,Song
0,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"{'name': 'Lovin On Me', 'track_number': 1, 'id': '4xhsWYTOGcal8zt0J161CU', 'url': 'https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU', 'audio_feature': [{'danceability': 0.943, 'energy': 0.558, 'key': 2, 'loudness': -4.911, 'mode': 1, 'speechiness': 0.0568, 'acousticness': 0.0026, 'instrumentalness': 2.19e-06, 'liveness': 0.0937, 'valence': 0.606, 'tempo': 104.983, 'type': 'audio_features', 'id': '4xhsWYTOGcal8zt0J161CU', 'uri': 'spotify:track:4xhsWYTOGcal8zt0J161CU', 'track_href': 'https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU', 'duration_ms': 138411, 'time_signature': 4}]}"
1,2uYWxilOVlUdk4oV9DvwqK,Mitski,"{'name': 'Bug Like an Angel', 'track_number': 1, 'id': '45KMdPDdZTxcXW3lw10R70', 'url': 'https://open.spotify.com/track/45KMdPDdZTxcXW3lw10R70', 'audio_feature': [{'danceability': 0.474, 'energy': 0.0617, 'key': 8, 'loudness': -16.859, 'mode': 1, 'speechiness': 0.0344, 'acousticness': 0.902, 'instrumentalness': 0.008, 'liveness': 0.094, 'valence': 0.0709, 'tempo': 114.97, 'type': 'audio_features', 'id': '45KMdPDdZTxcXW3lw10R70', 'uri': 'spotify:track:45KMdPDdZTxcXW3lw10R70', 'track_href': 'https://api.spotify.com/v1/tracks/45KMdPDdZTxcXW3lw10R70', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/45KMdPDdZTxcXW3lw10R70', 'duration_ms': 212333, 'time_signature': 4}]}"
2,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"{'name': 'Buffalo Replaced', 'track_number': 2, 'id': '06m6Q2ZUHNsHGEHK9m8hLf', 'url': 'https://open.spotify.com/track/06m6Q2ZUHNsHGEHK9m8hLf', 'audio_feature': [{'danceability': 0.462, 'energy': 0.336, 'key': 2, 'loudness': -14.606, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.689, 'instrumentalness': 0.765, 'liveness': 0.101, 'valence': 0.123, 'tempo': 69.014, 'type': 'audio_features', 'id': '06m6Q2ZUHNsHGEHK9m8hLf', 'uri': 'spotify:track:06m6Q2ZUHNsHGEHK9m8hLf', 'track_href': 'https://api.spotify.com/v1/tracks/06m6Q2ZUHNsHGEHK9m8hLf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/06m6Q2ZUHNsHGEHK9m8hLf', 'duration_ms': 160293, 'time_signature': 4}]}"
3,45dkTj5sMRSjrmBSBeiHym,Tate McRae,"{'name': 'Heaven', 'track_number': 3, 'id': '5T00EN4oZmDQx3hqVAC4Fx', 'url': 'https://open.spotify.com/track/5T00EN4oZmDQx3hqVAC4Fx', 'audio_feature': [{'danceability': 0.296, 'energy': 0.296, 'key': 2, 'loudness': -11.846, 'mode': 1, 'speechiness': 0.0289, 'acousticness': 0.875, 'instrumentalness': 0.248, 'liveness': 0.115, 'valence': 0.328, 'tempo': 71.648, 'type': 'audio_features', 'id': '5T00EN4oZmDQx3hqVAC4Fx', 'uri': 'spotify:track:5T00EN4oZmDQx3hqVAC4Fx', 'track_href': 'https://api.spotify.com/v1/tracks/5T00EN4oZmDQx3hqVAC4Fx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5T00EN4oZmDQx3hqVAC4Fx', 'duration_ms': 224333, 'time_signature': 4}]}"
4,3TVXtAsR1Inumwj472S9r4,Drake,"{'name': ""I Don't Like My Mind"", 'track_number': 4, 'id': '1l0BBsLElenQWul8Fn8tT1', 'url': 'https://open.spotify.com/track/1l0BBsLElenQWul8Fn8tT1', 'audio_feature': [{'danceability': 0.146, 'energy': 0.37, 'key': 4, 'loudness': -10.569, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.0789, 'instrumentalness': 1.91e-05, 'liveness': 0.172, 'valence': 0.281, 'tempo': 148.538, 'type': 'audio_features', 'id': '1l0BBsLElenQWul8Fn8tT1', 'uri': 'spotify:track:1l0BBsLElenQWul8Fn8tT1', 'track_href': 'https://api.spotify.com/v1/tracks/1l0BBsLElenQWul8Fn8tT1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1l0BBsLElenQWul8Fn8tT1', 'duration_ms': 145027, 'time_signature': 3}]}"
5,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"{'name': 'The Deal', 'track_number': 5, 'id': '0CNJcM33kvWE8v26wBy9wB', 'url': 'https://open.spotify.com/track/0CNJcM33kvWE8v26wBy9wB', 'audio_feature': [{'danceability': 0.137, 'energy': 0.291, 'key': 1, 'loudness': -14.768, 'mode': 0, 'speechiness': 0.0423, 'acousticness': 0.497, 'instrumentalness': 1.09e-05, 'liveness': 0.122, 'valence': 0.229, 'tempo': 77.322, 'type': 'audio_features', 'id': '0CNJcM33kvWE8v26wBy9wB', 'uri': 'spotify:track:0CNJcM33kvWE8v26wBy9wB', 'track_href': 'https://api.spotify.com/v1/tracks/0CNJcM33kvWE8v26wBy9wB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0CNJcM33kvWE8v26wBy9wB', 'duration_ms': 232200, 'time_signature': 3}]}"
6,06HL4z0CvFAxyc27GXpf02,Taylor Swift,"{'name': 'When Memories Snow', 'track_number': 6, 'id': '0QzJS1fQv5l0s1mqKTECRX', 'url': 'https://open.spotify.com/track/0QzJS1fQv5l0s1mqKTECRX', 'audio_feature': [{'danceability': 0.188, 'energy': 0.334, 'key': 2, 'loudness': -10.25, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.126, 'instrumentalness': 0, 'liveness': 0.124, 'valence': 0.297, 'tempo': 115.118, 'type': 'audio_features', 'id': '0QzJS1fQv5l0s1mqKTECRX', 'uri': 'spotify:track:0QzJS1fQv5l0s1mqKTECRX', 'track_href': 'https://api.spotify.com/v1/tracks/0QzJS1fQv5l0s1mqKTECRX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QzJS1fQv5l0s1mqKTECRX', 'duration_ms': 104253, 'time_signature': 4}]}"
7,3TVXtAsR1Inumwj472S9r4,Drake,"{'name': 'My Love Mine All Mine', 'track_number': 7, 'id': '3vkCueOmm7xQDoJ17W1Pm3', 'url': 'https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3', 'audio_feature': [{'danceability': 0.504, 'energy': 0.308, 'key': 9, 'loudness': -14.958, 'mode': 1, 'speechiness': 0.0321, 'acousticness': 0.868, 'instrumentalness': 0.135, 'liveness': 0.158, 'valence': 0.121, 'tempo': 113.95, 'type': 'audio_features', 'id': '3vkCueOmm7xQDoJ17W1Pm3', 'uri': 'spotify:track:3vkCueOmm7xQDoJ17W1Pm3', 'track_href': 'https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3', 'duration_ms': 137773, 'time_signature': 4}]}"
8,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"{'name': 'The Frost', 'track_number': 8, 'id': '41nIJErYY9goKvnCyG7ov6', 'url': 'https://open.spotify.com/track/41nIJErYY9goKvnCyG7ov6', 'audio_feature': [{'danceability': 0.461, 'energy': 0.282, 'key': 10, 'loudness': -17.201, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.901, 'instrumentalness': 0.0301, 'liveness': 0.303, 'valence': 0.348, 'tempo': 106.943, 'type': 'audio_features', 'id': '41nIJErYY9goKvnCyG7ov6', 'uri': 'spotify:track:41nIJErYY9goKvnCyG7ov6', 'track_href': 'https://api.spotify.com/v1/tracks/41nIJErYY9goKvnCyG7ov6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/41nIJErYY9goKvnCyG7ov6', 'duration_ms': 168480, 'time_signature': 4}]}"
9,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"{'name': 'Star', 'track_number': 9, 'id': '5ijSUALHfNot7KSafyLI4E', 'url': 'https://open.spotify.com/track/5ijSUALHfNot7KSafyLI4E', 'audio_feature': [{'danceability': 0.144, 'energy': 0.226, 'key': 2, 'loudness': -12.595, 'mode': 1, 'speechiness': 0.0326, 'acousticness': 0.716, 'instrumentalness': 0.0592, 'liveness': 0.117, 'valence': 0.0603, 'tempo': 73.362, 'type': 'audio_features', 'id': '5ijSUALHfNot7KSafyLI4E', 'uri': 'spotify:track:5ijSUALHfNot7KSafyLI4E', 'track_href': 'https://api.spotify.com/v1/tracks/5ijSUALHfNot7KSafyLI4E', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ijSUALHfNot7KSafyLI4E', 'duration_ms': 179347, 'time_signature': 4}]}"
10,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"{'name': ""I'm Your Man"", 'track_number': 10, 'id': '6YO2dalWyZSobXSY3UUPv9', 'url': 'https://open.spotify.com/track/6YO2dalWyZSobXSY3UUPv9', 'audio_feature': [{'danceability': 0.538, 'energy': 0.272, 'key': 0, 'loudness': -15.795, 'mode': 1, 'speechiness': 0.0361, 'acousticness': 0.902, 'instrumentalness': 0.346, 'liveness': 0.086, 'valence': 0.111, 'tempo': 129.975, 'type': 'audio_features', 'id': '6YO2dalWyZSobXSY3UUPv9', 'uri': 'spotify:track:6YO2dalWyZSobXSY3UUPv9', 'track_href': 'https://api.spotify.com/v1/tracks/6YO2dalWyZSobXSY3UUPv9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6YO2dalWyZSobXSY3UUPv9', 'duration_ms': 209533, 'time_signature': 4}]}"
11,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,"{'name': 'I Love Me After You', 'track_number': 11, 'id': '55Y5p2XyPaYBPGtzj1f9fE', 'url': 'https://open.spotify.com/track/55Y5p2XyPaYBPGtzj1f9fE', 'audio_feature': [{'danceability': 0.319, 'energy': 0.294, 'key': 7, 'loudness': -15.812, 'mode': 1, 'speechiness': 0.0411, 'acousticness': 0.725, 'instrumentalness': 0.644, 'liveness': 0.12, 'valence': 0.12, 'tempo': 124.548, 'type': 'audio_features', 'id': '55Y5p2XyPaYBPGtzj1f9fE', 'uri': 'spotify:track:55Y5p2XyPaYBPGtzj1f9fE', 'track_href': 'https://api.spotify.com/v1/tracks/55Y5p2XyPaYBPGtzj1f9fE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/55Y5p2XyPaYBPGtzj1f9fE', 'duration_ms': 168760, 'time_signature': 4}]}"
